trade_id,strategy_name,symbol,direction,entry_time,exit_time,entry_price,exit_price,pnl_R,pnl_usd,exit_reason,session,regime,regime_snapshot_id,structure_state,volatility_state,orderflow_state,macro_state,oi_state,cvd_state,funding_state,coinbase_premium_state,etf_flow_state,setup_type,original_regime_snapshot_id,original_oi_state,original_funding_state,original_orderflow_state,original_etf_flow_state,original_macro_state
T0188,ATR_ETH_3m,ETHUSDT,short,2025-10-08 13:33:00,2025-10-08 14:00:00,4465.7234,4501.93,-1.669,-56.4306,SL,overlap,range,range_W41_2025,range,high,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,range_W41_2025,unknown,unknown,unknown,unknown,unknown
T0189,BTP_ETH_30m,ETHUSDT,long,2025-10-08 15:00:00,2025-10-08 17:00:00,4458.7458,4475.9225,1.291,83.6091,TP2,overlap,range,range_W41_2025,range,high,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,range_W41_2025,unknown,unknown,unknown,unknown,unknown
T0190,BTP_ETH_30m,ETHUSDT,long,2025-10-09 03:30:00,2025-10-09 08:00:00,4449.2549,4386.5849,-1.035,-109.3912,SL,Asia,range,range_W41_2025,range,high,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,range_W41_2025,unknown,unknown,unknown,unknown,unknown
T0191,BTP_BTC_1H,BTCUSDT,long,2025-10-09 04:00:00,2025-10-09 11:00:00,122099.8088,122750.8313,0.539,34.5612,TP2,Asia,range,range_W41_2025,range,high,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,range_W41_2025,unknown,unknown,unknown,unknown,unknown
T0192,BAW_ETH_5m,ETHUSDT,long,2025-10-09 13:45:00,2025-10-09 13:55:00,4382.2582,4349.35,-1.846,-60.0706,SL,overlap,range,range_W41_2025,range,high,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,range_W41_2025,unknown,unknown,unknown,unknown,unknown
T0193,ATR_ETH_3m,ETHUSDT,long,2025-10-10 03:27:00,2025-10-10 03:51:00,4376.1676,4357.01,-1.24,-36.5828,SL,Asia,range,range_W41_2025,range,high,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,range_W41_2025,unknown,unknown,unknown,unknown,unknown
T0194,ATR_ETH_3m,ETHUSDT,short,2025-10-10 15:27:00,2025-10-10 21:12:00,4158.9341,3723.05,2.373,741.1567,TP2,overlap,trend_down,trend_down_20251010,trend_down,high,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,trend_down_W41_2025,unknown,unknown,unknown,unknown,unknown
T0195,BAW_ETH_5m,ETHUSDT,long,2025-10-11 11:20:00,2025-10-11 12:20:00,3813.3713,3836.09,1.36,40.9323,TIME,weekend,trend_down,trend_down_20251011,trend_down,high,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,trend_down_W41_2025,unknown,unknown,unknown,unknown,unknown
T0196,BAW_ETH_5m,ETHUSDT,short,2025-10-12 10:05:00,2025-10-12 11:05:00,3834.1465,3829.51,0.197,5.3196,TIME,weekend,trend_down,trend_down_20251012,trend_down,high,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,trend_down_W41_2025,unknown,unknown,unknown,unknown,unknown
T0197,BAW_ETH_5m,ETHUSDT,short,2025-10-13 01:35:00,2025-10-13 01:50:00,4156.0644,4171.21,-1.187,-31.0817,3BAR,Asia,range,range_W42_2025,range,high,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,range_W42_2025,unknown,unknown,unknown,unknown,unknown
