Trade #,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
63,Entry long,2025-05-29 17:00,Long-A,2660.4,6.3743,16958.18772,-130.81,-0.77,70.88,0.42,-219.21,-1.29,-1647.42,-16.47
64,Exit long,2025-05-30 02:30,SL,2583.56,3.8,10017.902,-210.29,-2.10,0,0.00,-205.38,-2.05,-1861.05,-18.61
64,Entry long,2025-05-30 02:00,Long-A,2636.29,3.8,10017.902,-210.29,-2.10,0,0.00,-205.38,-2.05,-1861.05,-18.61
65,Exit long,2025-05-30 02:30,SL,2583.56,2.5333,6678.513457,-140.19,-2.10,0,0.00,-136.92,-2.05,-1997.9,-19.98
65,Entry long,2025-05-30 02:00,Long-A,2636.29,2.5333,6678.513457,-140.19,-2.10,0,0.00,-136.92,-2.05,-1997.9,-19.98
66,Exit long,2025-05-30 02:30,SL,2572.24,0.0001,0.263629,-0.01,-2.53,0,0.00,-0.01,-3.09,-1997.91,-19.98
66,Entry long,2025-05-30 02:00,Long-A,2636.29,0.0001,0.263629,-0.01,-2.53,0,0.00,-0.01,-3.09,-1997.91,-19.98
67,Exit long,2025-06-12 01:00,TP1,2772.39,3.4799,9597.5642,40.45,0.42,45.28,0.47,-19.41,-0.20,-1960.66,-19.61
67,Entry long,2025-06-12 00:30,Long-A,2758,3.4799,9597.5642,40.45,0.42,45.28,0.47,-19.41,-0.20,-1960.66,-19.61
68,Exit long,2025-06-12 02:30,BE,2758,2.3199,6398.2842,-6.4,-0.10,56.89,0.89,-12.94,-0.20,-1963.86,-19.64
68,Entry long,2025-06-12 00:30,Long-A,2758,2.3199,6398.2842,-6.4,-0.10,56.89,0.89,-12.94,-0.20,-1963.86,-19.64
69,Exit long,2025-06-12 08:30,TIME,2767.16,0.0001,0.2758,0.001,0.23,0.002,0.89,-0.001,-0.52,-1963.86,-19.64
69,Entry long,2025-06-12 00:30,Long-A,2758,0.0001,0.2758,0.001,0.23,0.002,0.89,-0.001,-0.52,-1963.86,-19.64
70,Exit long,2025-06-12 14:00,TIME,2723.62,5.8349,16064.00484,-187.93,-1.17,37.77,0.24,-254.91,-1.59,-2151.79,-21.52
70,Entry long,2025-06-12 10:00,Long-A,2753.09,5.8349,16064.00484,-187.93,-1.17,37.77,0.24,-254.91,-1.59,-2151.79,-21.52
71,Exit short,2025-06-23 17:30,TP1,2260.61,4.1298,9413.135736,67.89,0.72,72.56,0.77,-42.62,-0.45,-2087.03,-20.87
71,Entry short,2025-06-23 16:00,Short-A,2279.32,4.1298,9413.135736,67.89,0.72,72.56,0.77,-42.62,-0.45,-2087.03,-20.87
72,Exit short,2025-06-23 17:30,TP2,2247.17,2.7532,6275.423824,82.28,1.31,87.64,1.40,-28.41,-0.45,-2001.61,-20.02
72,Entry short,2025-06-23 16:00,Short-A,2279.32,2.7532,6275.423824,82.28,1.31,87.64,1.40,-28.41,-0.45,-2001.61,-20.02
73,Exit short,2025-06-24 15:30,TIME,2420.53,6.6216,15988.71401,-55.08,-0.34,112.45,0.70,-117.58,-0.74,-2056.69,-20.57
73,Entry short,2025-06-24 11:30,Short-C,2414.63,6.6216,15988.71401,-55.08,-0.34,112.45,0.70,-117.58,-0.74,-2056.69,-20.57
74,Exit long,2025-07-01 11:30,TIME,2455.98,6.4548,15878.6789,-41.68,-0.26,45.31,0.29,-111.86,-0.70,-2098.37,-20.98
74,Entry long,2025-07-01 07:30,Long-A,2459.98,6.4548,15878.6789,-41.68,-0.26,45.31,0.29,-111.86,-0.70,-2098.37,-20.98
75,Exit long,2025-07-04 14:00,TIME,2551.62,6.2088,15795.31138,31.37,0.20,78.9,0.50,-30.06,-0.19,-2067,-20.67
75,Entry long,2025-07-04 10:00,Long-A,2544.02,6.2088,15795.31138,31.37,0.20,78.9,0.50,-30.06,-0.19,-2067,-20.67
76,Exit long,2025-07-05 22:30,TIME,2505.2,6.3308,15858.02092,-13.96,-0.09,31.26,0.20,-125.62,-0.79,-2080.96,-20.81
76,Entry long,2025-07-05 18:30,Long-C,2504.9,6.3308,15858.02092,-13.96,-0.09,31.26,0.20,-125.62,-0.79,-2080.96,-20.81
77,Exit long,2025-07-07 21:00,TP1,2550.59,3.7396,9497.761288,30.91,0.33,35.68,0.38,-133.43,-1.40,-2053.22,-20.53
77,Entry long,2025-07-07 17:00,Long-A,2539.78,3.7396,9497.761288,30.91,0.33,35.68,0.38,-133.43,-1.40,-2053.22,-20.53
78,Exit long,2025-07-07 21:30,TIME,2542.86,2.4932,6332.179496,1.34,0.02,39.77,0.63,-88.96,-1.40,-2048.71,-20.49
78,Entry long,2025-07-07 17:00,Long-A,2539.78,2.4932,6332.179496,1.34,0.02,39.77,0.63,-88.96,-1.40,-2048.71,-20.49
79,Exit long,2025-07-15 08:30,TIME,2984.68,5.3457,15894.47672,44.8,0.28,92.39,0.58,-234.23,-1.47,-2003.91,-20.04
79,Entry long,2025-07-15 04:30,Long-A,2973.32,5.3457,15894.47672,44.8,0.28,92.39,0.58,-234.23,-1.47,-2003.91,-20.04
80,Exit long,2025-07-22 11:00,TIME,3644.16,4.3403,15983.8492,-183,-1.14,148.35,0.93,-295.02,-1.84,-2186.91,-21.87
80,Entry long,2025-07-22 07:00,Long-A,3682.66,4.3403,15983.8492,-183,-1.14,148.35,0.93,-295.02,-1.84,-2186.91,-21.87
81,Exit long,2025-07-23 13:00,TIME,3670.54,4.2312,15618.03619,-102.82,-0.66,24.77,0.16,-229.48,-1.47,-2289.73,-22.90
81,Entry long,2025-07-23 09:00,Long-A,3691.16,4.2312,15618.03619,-102.82,-0.66,24.77,0.16,-229.48,-1.47,-2289.73,-22.90
82,Exit long,2025-07-24 03:30,TIME,3646.9,4.292,15412.52908,224.43,1.46,235.91,1.53,-67.06,-0.43,-2065.3,-20.65
82,Entry long,2025-07-23 23:30,Long-C,3590.99,4.292,15412.52908,224.43,1.46,235.91,1.53,-67.06,-0.43,-2065.3,-20.65
83,Exit long,2025-07-24 12:00,TP1,3649.57,2.6629,9516.698649,192.12,2.02,196.98,2.07,-187.99,-1.97,-1876.35,-18.76
83,Entry long,2025-07-24 08:00,Long-C,3573.81,2.6629,9516.698649,192.12,2.02,196.98,2.07,-187.99,-1.97,-1876.35,-18.76
84,Exit long,2025-07-24 12:30,TP2,3622.88,1.7752,6344.227512,80.72,1.27,149.83,2.36,-125.32,-1.97,-1792.46,-17.92
84,Entry long,2025-07-24 08:00,Long-C,3573.81,1.7752,6344.227512,80.72,1.27,149.83,2.36,-125.32,-1.97,-1792.46,-17.92
85,Exit long,2025-07-24 12:30,TIME,3620.32,0.0001,0.357381,0.004,1.20,0.01,2.36,-0.01,-1.97,-1792.45,-17.92
85,Entry long,2025-07-24 08:00,Long-C,3573.81,0.0001,0.357381,0.004,1.20,0.01,2.36,-0.01,-1.97,-1792.45,-17.92
86,Exit long,2025-07-28 21:00,TIME,3797.72,4.3022,16406.86992,-84.69,-0.52,23.63,0.14,-277.39,-1.69,-1877.14,-18.77
86,Entry long,2025-07-28 17:00,Long-A,3813.6,4.3022,16406.86992,-84.69,-0.52,23.63,0.14,-277.39,-1.69,-1877.14,-18.77
87,Exit long,2025-07-29 05:00,TP1,3775.83,2.5929,9742.121667,38.46,0.39,43.36,0.44,-48.92,-0.50,-1841.93,-18.42
87,Entry long,2025-07-29 04:00,Long-C,3757.23,2.5929,9742.121667,38.46,0.39,43.36,0.44,-48.92,-0.50,-1841.93,-18.42
88,Exit long,2025-07-29 05:30,TP2,3784.27,1.7286,6494.747778,40.22,0.62,45.88,0.71,-32.62,-0.50,-1798.46,-17.98
88,Entry long,2025-07-29 04:00,Long-C,3757.23,1.7286,6494.747778,40.22,0.62,45.88,0.71,-32.62,-0.50,-1798.46,-17.98
89,Exit long,2025-07-29 08:00,TIME,3815.45,0.0001,0.375723,0.01,1.45,0.01,1.66,-0.002,-0.50,-1798.45,-17.98
89,Entry long,2025-07-29 04:00,Long-C,3757.23,0.0001,0.375723,0.01,1.45,0.01,1.66,-0.002,-0.50,-1798.45,-17.98
90,Exit long,2025-07-30 22:00,TP1,3785.97,2.617,9836.5179,61.49,0.62,66.45,0.68,-14.29,-0.15,-1740.24,-17.40
90,Entry long,2025-07-30 21:30,Long-C,3758.7,2.617,9836.5179,61.49,0.62,66.45,0.68,-14.29,-0.15,-1740.24,-17.40
91,Exit long,2025-07-30 22:30,BE,3758.7,1.7447,6557.80389,-6.56,-0.10,45.12,0.69,-9.52,-0.15,-1743.52,-17.44
