Trade #,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
235,Entry long,2026-03-25 13:54,IMP_L,2186.67,6.9053,15099.61235,-32.32,-0.21,68.87,0.46,-63.02,-0.42,5067.38,50.67
236,Exit short,2026-03-26 16:12,TP1,2058.31,0.7268,1506.561916,9.68,0.64,10.73,0.71,-8.45,-0.56,5072.99,50.73
236,Entry short,2026-03-26 15:18,IMP_S,2072.87,0.7268,1506.561916,9.68,0.64,10.73,0.71,-8.45,-0.56,5072.99,50.73
237,Exit short,2026-03-26 18:57,TP2,2048.22,6.542,13560.71554,153.17,1.13,195.07,1.44,-76.03,-0.56,5230.23,52.30
237,Entry short,2026-03-26 15:18,IMP_S,2072.87,6.542,13560.71554,153.17,1.13,195.07,1.44,-76.03,-0.56,5230.23,52.30
238,Exit short,2026-03-27 09:33,TP1,2047.1,0.7402,1522.857872,6.68,0.44,10.67,0.70,-2.19,-0.14,5232.8,52.33
238,Entry short,2026-03-27 09:18,IMP_S,2057.36,0.7402,1522.857872,6.68,0.44,10.67,0.70,-2.19,-0.14,5232.8,52.33
239,Exit short,2026-03-27 09:36,TP2,2036.21,6.6626,13707.36674,132.73,0.97,144.86,1.06,-19.7,-0.14,5369.65,53.70
239,Entry short,2026-03-27 09:18,IMP_S,2057.36,6.6626,13707.36674,132.73,0.97,144.86,1.06,-19.7,-0.14,5369.65,53.70
240,Exit short,2026-03-29 16:09,CH_IN,1993.62,7.7283,15369.50206,-47.02,-0.31,45.78,0.30,-49.98,-0.33,5322.62,53.23
240,Entry short,2026-03-29 15:06,IMP_S,1988.73,7.7283,15369.50206,-47.02,-0.31,45.78,0.30,-49.98,-0.33,5322.62,53.23
241,Exit short,2026-03-30 01:57,CH_IN,1983.44,7.7749,15322.46192,-107.81,-0.70,3.1,0.02,-183.73,-1.20,5214.81,52.15
241,Entry short,2026-03-30 00:54,DLY_S,1970.76,7.7749,15322.46192,-107.81,-0.70,3.1,0.02,-183.73,-1.20,5214.81,52.15
242,Exit short,2026-04-04 16:45,SL,2050.51,7.4369,15214.63313,-43.94,-0.29,0,0.00,-51.27,-0.34,5170.87,51.71
242,Entry short,2026-04-04 16:39,IMP_S,2045.83,7.4369,15214.63313,-43.94,-0.29,0,0.00,-51.27,-0.34,5170.87,51.71
243,Exit long,2026-04-04 22:18,CH_IN,2061.56,7.3236,15170.76416,-81.8,-0.54,5.85,0.04,-98.73,-0.65,5089.06,50.89
243,Entry long,2026-04-04 21:15,DLY_L,2071.49,7.3236,15170.76416,-81.8,-0.54,5.85,0.04,-98.73,-0.65,5089.06,50.89
